,susceptible,exposed,infectious,recovered
123,942973.5165054385,17128.17768398286,12448.236967438117,31513.246311351733
124,938149.1795709501,18422.15547378898,13418.955483888754,34105.988469082564
125,932975.7450101094,19797.600223118578,14456.025978660053,36900.01040659862
126,927434.1726093007,21256.962366048567,15562.430541025687,39908.91981420117
127,921505.3648598279,22802.296407831287,16741.018839884622,43146.9100264711
128,915170.3491930882,24435.16735926468,17994.45156501041,46628.727911475486
129,908410.4884068782,26156.548559762658,19325.13633321621,50369.62971522665
130,901207.7204208607,27966.711493069277,20735.155966088292,54385.32321276758
131,893544.8273427992,29865.109088334233,22226.18908656873,58691.894744278834
132,885405.7332823373,31850.254209961935,23799.423436126548,63305.71959427938
133,876775.8293028753,33919.59562190152,25455.462674348284,68243.35427586926
134,867642.3224554238,36069.39477082302,27194.227518225678,73521.40957441219
135,857994.6046767832,38294.60704225825,29014.85280461184,79156.40333075875
136,847824.6356257234,40588.77197151647,30915.582596235698,85164.59228813677
137,837127.3326744776,42943.91724242093,32893.665324839,91561.78295878417
138,825900.9571788713,45350.48347505028,34945.25266659457,98363.12169065994
139,814147.4884462947,47797.27404196672,37065.305281815025,105582.86514353496
140,801872.9719547634,50271.43753203689,39247.50961368679,113234.13280737658
141,789087.8287387893,52758.48886469693,41484.209986004484,121328.6444044782
142,775807.1121282093,55242.37444598887,43766.36099872501,129876.4455990399
143,762050.6977412504,57705.586088991484,46083.50511730456,138885.62649433585
144,747843.3927766571,60129.32770913423,48423.779706688896,148362.0386112822
145,733214.952203287,62493.7361599127,50773.958145853736,158309.01674858606
146,718199.9923669625,64778.154937076295,53119.528912758564,168727.11258675237
147,702837.793895524,66961.45872318982,55444.81456321339,179613.84825960157
148,687171.9905476095,69022.42231899501,57733.132312511596,190963.49799249668
149,671250.1449242546,70940.12487670738,59966.996168471676,202766.90602440404
150,655123.2163257215,72694.3782602819,62128.35828934878,215011.3490328876
151,638844.9308020648,74266.16619339299,64198.885210478424,227680.4507089185
152,622471.0689134431,75638.07774177742,66160.26363193328,240754.15472656477
153,606058.6905625697,76794.71864617591,67994.52775754359,254208.7612385784
154,589665.3184771362,77723.08531846378,69684.39818116165,268017.03051157587
155,573348.1061401088,78412.88438071238,71213.62253337726,282148.35480996605
156,557163.0158853881,78856.78444615881,72567.30628280221,296568.9977180354
157,541164.0324625652,79050.58974595746,73732.22176550678,311242.3979190042
158,525402.4359137693,78993.328233078,74697.08444608195,326129.5319532185
