DEPARTMENT;AGE_GROUP;WORK_GROUP;HEALTH_GROUP;POPULATION
SUCRE;e4;M;S;1017
SUCRE;e5;M;S;365
SUCRE;e6;M;S;140
SUCRE;e7;M;S;16
TOLIMA;e0;M;S;0
TOLIMA;e1;M;S;252
TOLIMA;e2;M;S;11638
TOLIMA;e3;M;S;6601
TOLIMA;e4;M;S;37584
TOLIMA;e5;M;S;1130
TOLIMA;e6;M;S;308
TOLIMA;e7;M;S;41
VALLE;e0;M;S;0
VALLE;e1;M;S;706
VALLE;e2;M;S;55800
VALLE;e3;M;S;26805
VALLE;e4;M;S;8651
VALLE;e5;M;S;3658
VALLE;e6;M;S;1161
VALLE;e7;M;S;193
VAUPES;e0;M;S;0
VAUPES;e1;M;S;0
VAUPES;e2;M;S;52
VAUPES;e3;M;S;98
VAUPES;e4;M;S;17
VAUPES;e5;M;S;14
VAUPES;e6;M;S;11
VAUPES;e7;M;S;0
VICHADA;e0;M;S;0
VICHADA;e1;M;S;0
VICHADA;e2;M;S;170
VICHADA;e3;M;S;174
VICHADA;e4;M;S;85
VICHADA;e5;M;S;22
VICHADA;e6;M;S;8
VICHADA;e7;M;S;0
AMAZONAS;e0;O;S;0
AMAZONAS;e1;O;S;11
AMAZONAS;e2;O;S;404
AMAZONAS;e3;O;S;388
AMAZONAS;e4;O;S;82
AMAZONAS;e5;O;S;42
AMAZONAS;e6;O;S;10
AMAZONAS;e7;O;S;2
ANTIOQUIA;e0;O;S;0
ANTIOQUIA;e1;O;S;507
ANTIOQUIA;e2;O;S;22638
ANTIOQUIA;e3;O;S;19891
ANTIOQUIA;e4;O;S;7279
ANTIOQUIA;e5;O;S;5659
ANTIOQUIA;e6;O;S;1826
ANTIOQUIA;e7;O;S;971
ARAUCA;e0;O;S;0
ARAUCA;e1;O;S;62
ARAUCA;e2;O;S;2718
ARAUCA;e3;O;S;1655
ARAUCA;e4;O;S;465
ARAUCA;e5;O;S;121
ARAUCA;e6;O;S;28
ARAUCA;e7;O;S;4
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e0;O;S;0
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e1;O;S;0
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e2;O;S;382
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e3;O;S;245
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e4;O;S;98
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e5;O;S;57
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e6;O;S;20
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e7;O;S;4
ATLANTICO;e0;O;S;0
ATLANTICO;e1;O;S;287
ATLANTICO;e2;O;S;27350
ATLANTICO;e3;O;S;13332
ATLANTICO;e4;O;S;3989
ATLANTICO;e5;O;S;1648
ATLANTICO;e6;O;S;617
ATLANTICO;e7;O;S;86
BOGOTA D.C.;e0;O;S;0
BOGOTA D.C.;e1;O;S;1186
BOGOTA D.C.;e2;O;S;86025
BOGOTA D.C.;e3;O;S;49893
BOGOTA D.C.;e4;O;S;18428
BOGOTA D.C.;e5;O;S;8494
BOGOTA D.C.;e6;O;S;2681
BOGOTA D.C.;e7;O;S;475
BOLIVAR;e0;O;S;0
BOLIVAR;e1;O;S;43
BOLIVAR;e2;O;S;15769
BOLIVAR;e3;O;S;9815
BOLIVAR;e4;O;S;3623
BOLIVAR;e5;O;S;1269
BOLIVAR;e6;O;S;388
BOLIVAR;e7;O;S;62
BOYACA;e0;O;S;0
BOYACA;e1;O;S;162
BOYACA;e2;O;S;9927
BOYACA;e3;O;S;4597
BOYACA;e4;O;S;1663
BOYACA;e5;O;S;665
BOYACA;e6;O;S;159
BOYACA;e7;O;S;25
CALDAS;e0;O;S;0
CALDAS;e1;O;S;121
CALDAS;e2;O;S;9398
CALDAS;e3;O;S;4901
CALDAS;e4;O;S;1688
CALDAS;e5;O;S;766
CALDAS;e6;O;S;248
CALDAS;e7;O;S;48
CAQUETA;e0;O;S;0
CAQUETA;e1;O;S;58
CAQUETA;e2;O;S;3385
CAQUETA;e3;O;S;1783
CAQUETA;e4;O;S;582
CAQUETA;e5;O;S;205
CAQUETA;e6;O;S;54
CAQUETA;e7;O;S;7
CASANARE;e0;O;S;0
CASANARE;e1;O;S;22
CASANARE;e2;O;S;2023
CASANARE;e3;O;S;1260
CASANARE;e4;O;S;438
CASANARE;e5;O;S;144
CASANARE;e6;O;S;27
CASANARE;e7;O;S;4
CAUCA;e0;O;S;0
CAUCA;e1;O;S;195
CAUCA;e2;O;S;14383
CAUCA;e3;O;S;7897
CAUCA;e4;O;S;2990
CAUCA;e5;O;S;1078
CAUCA;e6;O;S;206
CAUCA;e7;O;S;32
CESAR;e0;O;S;0
CESAR;e1;O;S;201
CESAR;e2;O;S;9977
CESAR;e3;O;S;5426
CESAR;e4;O;S;1891
CESAR;e5;O;S;597
CESAR;e6;O;S;205
CESAR;e7;O;S;26
CHOCO;e0;O;S;0
CHOCO;e1;O;S;19
CHOCO;e2;O;S;1406
CHOCO;e3;O;S;1340
CHOCO;e4;O;S;638
CHOCO;e5;O;S;237
CHOCO;e6;O;S;68
CHOCO;e7;O;S;6
CORDOBA;e0;O;S;0
CORDOBA;e1;O;S;240
CORDOBA;e2;O;S;15114
CORDOBA;e3;O;S;7301
CORDOBA;e4;O;S;2461
CORDOBA;e5;O;S;764
CORDOBA;e6;O;S;290
CORDOBA;e7;O;S;20
CUNDINAMARCA;e0;O;S;0
CUNDINAMARCA;e1;O;S;599
CUNDINAMARCA;e2;O;S;18659
CUNDINAMARCA;e3;O;S;7701
CUNDINAMARCA;e4;O;S;2931
CUNDINAMARCA;e5;O;S;1128
CUNDINAMARCA;e6;O;S;259
CUNDINAMARCA;e7;O;S;37
GUAINIA;e0;O;S;0
GUAINIA;e1;O;S;0
GUAINIA;e2;O;S;149
GUAINIA;e3;O;S;149
GUAINIA;e4;O;S;27
